"Título","","","","","","","","","","",""
"Lista por Áreas de : H: Su hogar tiene: Conexión a Internet, H: Su hogar tiene: Conexión a TV por cable o satelital, H: Su hogar tiene: Teléfono celular, H: Su hogar tiene: Teléfono fijo","","","","","","","","","","",""
"Área Geográfica","","","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Código","Provincia","Sí tiene conexión a internet","No tiene conexión a internet","Sí tiene conexión a TV por cable o satelital","No tiene conexión a TV por cable o satelital","Sí tiene teléfono celular","No tiene teléfono celular","Sí tiene teléfono fijo","No tiene teléfono fijo",""
"","803","Cusco, provincia: Anta","00 000 000 000 952","00 000 000 015 798","00 000 000 001 337","00 000 000 015 413","00 000 000 012 372","00 000 000 004 378","00 000 000 000 266","00 000 000 016 484",""
"","804","Cusco, provincia: Calca","00 000 000 001 043","00 000 000 018 016","00 000 000 001 246","00 000 000 017 813","00 000 000 012 439","00 000 000 006 620","00 000 000 000 564","00 000 000 018 495",""
"","805","Cusco, provincia: Canas","00 000 000 000 055","00 000 000 010 646","00 000 000 000 027","00 000 000 010 674","00 000 000 005 720","00 000 000 004 981","00 000 000 000 025","00 000 000 010 676",""
"","806","Cusco, provincia: Canchis","00 000 000 004 518","00 000 000 025 526","00 000 000 002 151","00 000 000 027 893","00 000 000 022 868","00 000 000 007 176","00 000 000 000 973","00 000 000 029 071",""
"","807","Cusco, provincia: Chumbivilcas","00 000 000 000 229","00 000 000 021 039","00 000 000 000 477","00 000 000 020 791","00 000 000 012 099","00 000 000 009 169","00 000 000 000 116","00 000 000 021 152",""
"","808","Cusco, provincia: Espinar","00 000 000 000 865","00 000 000 018 305","00 000 000 001 229","00 000 000 017 941","00 000 000 013 936","00 000 000 005 234","00 000 000 000 186","00 000 000 018 984",""
"","809","Cusco, provincia: La Convención","00 000 000 001 943","00 000 000 040 811","00 000 000 008 806","00 000 000 033 948","00 000 000 030 029","00 000 000 012 725","00 000 000 000 835","00 000 000 041 919",""
"","810","Cusco, provincia: Paruro","00 000 000 000 085","00 000 000 008 115","00 000 000 000 064","00 000 000 008 136","00 000 000 003 812","00 000 000 004 388","00 000 000 000 061","00 000 000 008 139",""
"","811","Cusco, provincia: Paucartambo","00 000 000 000 186","00 000 000 011 998","00 000 000 000 188","00 000 000 011 996","00 000 000 007 215","00 000 000 004 969","00 000 000 000 059","00 000 000 012 125",""
"","812","Cusco, provincia: Quispicanchi","00 000 000 001 305","00 000 000 023 398","00 000 000 001 974","00 000 000 022 729","00 000 000 017 271","00 000 000 007 432","00 000 000 000 353","00 000 000 024 350",""
"","813","Cusco, provincia: Urubamba","00 000 000 002 107","00 000 000 014 411","00 000 000 002 942","00 000 000 013 576","00 000 000 012 887","00 000 000 003 631","00 000 000 001 044","00 000 000 015 474",""
"","901","Huancavelica, provincia: Huancavelica","00 000 000 003 615","00 000 000 029 771","00 000 000 004 413","00 000 000 028 973","00 000 000 024 087","00 000 000 009 299","00 000 000 001 631","00 000 000 031 755",""
"","902","Huancavelica, provincia: Acobamba","00 000 000 000 313","00 000 000 011 357","00 000 000 000 462","00 000 000 011 208","00 000 000 008 243","00 000 000 003 427","00 000 000 000 053","00 000 000 011 617",""
"","903","Huancavelica, provincia: Angaraes","00 000 000 000 486","00 000 000 013 793","00 000 000 000 815","00 000 000 013 464","00 000 000 009 680","00 000 000 004 599","00 000 000 000 118","00 000 000 014 161",""
"","904","Huancavelica, provincia: Castrovirreyna","00 000 000 000 030","00 000 000 005 189","00 000 000 000 213","00 000 000 005 006","00 000 000 003 094","00 000 000 002 125","00 000 000 000 013","00 000 000 005 206",""
"","905","Huancavelica, provincia: Churcampa","00 000 000 000 113","00 000 000 009 854","00 000 000 000 308","00 000 000 009 659","00 000 000 006 607","00 000 000 003 360","00 000 000 000 030","00 000 000 009 937",""
"","906","Huancavelica, provincia: Huaytará","00 000 000 000 040","00 000 000 006 541","00 000 000 000 183","00 000 000 006 398","00 000 000 003 605","00 000 000 002 976","00 000 000 000 016","00 000 000 006 565",""
"","907","Huancavelica, provincia: Tayacaja","00 000 000 000 633","00 000 000 024 283","00 000 000 001 288","00 000 000 023 628","00 000 000 016 940","00 000 000 007 976","00 000 000 000 207","00 000 000 024 709",""
"","1001","Huánuco, provincia: Huánuco","00 000 000 014 095","00 000 000 066 665","00 000 000 021 545","00 000 000 059 215","00 000 000 065 722","00 000 000 015 038","00 000 000 009 748","00 000 000 071 012",""
"","1002","Huánuco, provincia: Ambo","00 000 000 000 818","00 000 000 014 048","00 000 000 002 914","00 000 000 011 952","00 000 000 011 017","00 000 000 003 849","00 000 000 000 159","00 000 000 014 707",""
"","1003","Huánuco, provincia: Dos De Mayo","00 000 000 000 176","00 000 000 009 752","00 000 000 000 513","00 000 000 009 415","00 000 000 005 782","00 000 000 004 146","00 000 000 000 045","00 000 000 009 883",""
"","1004","Huánuco, provincia: Huacaybamba","00 000 000 000 035","00 000 000 004 389","00 000 000 000 066","00 000 000 004 358","00 000 000 002 230","00 000 000 002 194","00 000 000 000 009","00 000 000 004 415",""
"","1005","Huánuco, provincia: Huamalíes","00 000 000 000 229","00 000 000 015 249","00 000 000 000 666","00 000 000 014 812","00 000 000 009 930","00 000 000 005 548","00 000 000 000 074","00 000 000 015 404",""
"","1006","Huánuco, provincia: Leoncio Prado","00 000 000 006 011","00 000 000 029 507","00 000 000 014 230","00 000 000 021 288","00 000 000 029 020","00 000 000 006 498","00 000 000 002 188","00 000 000 033 330",""
"","1007","Huánuco, provincia: Marañón","00 000 000 000 070","00 000 000 007 354","00 000 000 000 773","00 000 000 006 651","00 000 000 004 182","00 000 000 003 242","00 000 000 000 056","00 000 000 007 368",""
"","1008","Huánuco, provincia: Pachitea","00 000 000 000 382","00 000 000 013 598","00 000 000 001 340","00 000 000 012 640","00 000 000 009 492","00 000 000 004 488","00 000 000 000 082","00 000 000 013 898",""
"","1009","Huánuco, provincia: Puerto Inca","00 000 000 000 133","00 000 000 008 790","00 000 000 002 275","00 000 000 006 648","00 000 000 005 859","00 000 000 003 064","00 000 000 000 096","00 000 000 008 827",""
"","1010","Huánuco, provincia: Lauricocha","00 000 000 000 068","00 000 000 005 527","00 000 000 000 061","00 000 000 005 534","00 000 000 003 327","00 000 000 002 268","00 000 000 000 021","00 000 000 005 574",""
"","1011","Huánuco, provincia: Yarowilca","00 000 000 000 061","00 000 000 006 494","00 000 000 000 038","00 000 000 006 517","00 000 000 003 759","00 000 000 002 796","00 000 000 000 014","00 000 000 006 541",""
"","1101","Ica, provincia: Ica","00 000 000 035 688","00 000 000 073 640","00 000 000 035 016","00 000 000 074 312","00 000 000 097 779","00 000 000 011 549","00 000 000 023 871","00 000 000 085 457",""
"","1102","Ica, provincia: Chincha","00 000 000 013 506","00 000 000 047 246","00 000 000 026 882","00 000 000 033 870","00 000 000 051 840","00 000 000 008 912","00 000 000 009 921","00 000 000 050 831",""
"","1103","Ica, provincia: Nazca","00 000 000 004 667","00 000 000 016 342","00 000 000 007 129","00 000 000 013 880","00 000 000 018 482","00 000 000 002 527","00 000 000 003 299","00 000 000 017 710",""
"","1104","Ica, provincia: Palpa","00 000 000 000 373","00 000 000 003 871","00 000 000 001 427","00 000 000 002 817","00 000 000 003 295","00 000 000 000 949","00 000 000 000 346","00 000 000 003 898",""
"","1105","Ica, provincia: Pisco","00 000 000 011 037","00 000 000 031 668","00 000 000 024 225","00 000 000 018 480","00 000 000 037 272","00 000 000 005 433","00 000 000 005 091","00 000 000 037 614",""
"","1201","Junín, provincia: Huancayo","00 000 000 040 411","00 000 000 110 262","00 000 000 032 934","00 000 000 117 739","00 000 000 134 633","00 000 000 016 040","00 000 000 031 465","00 000 000 119 208",""
"","1202","Junín, provincia: Concepción","00 000 000 001 502","00 000 000 014 925","00 000 000 001 869","00 000 000 014 558","00 000 000 011 760","00 000 000 004 667","00 000 000 001 344","00 000 000 015 083",""
"","1203","Junín, provincia: Chanchamayo","00 000 000 004 081","00 000 000 040 399","00 000 000 014 253","00 000 000 030 227","00 000 000 035 333","00 000 000 009 147","00 000 000 002 321","00 000 000 042 159",""
"","1204","Junín, provincia: Jauja","00 000 000 002 110","00 000 000 023 193","00 000 000 003 575","00 000 000 021 728","00 000 000 019 890","00 000 000 005 413","00 000 000 001 363","00 000 000 023 940",""
"","1205","Junín, provincia: Junín","00 000 000 000 395","00 000 000 007 199","00 000 000 000 898","00 000 000 006 696","00 000 000 005 617","00 000 000 001 977","00 000 000 000 266","00 000 000 007 328",""
"","1206","Junín, provincia: Satipo","00 000 000 002 188","00 000 000 050 066","00 000 000 009 420","00 000 000 042 834","00 000 000 030 749","00 000 000 021 505","00 000 000 000 779","00 000 000 051 475",""
"","1207","Junín, provincia: Tarma","00 000 000 003 592","00 000 000 023 836","00 000 000 004 736","00 000 000 022 692","00 000 000 022 484","00 000 000 004 944","00 000 000 002 322","00 000 000 025 106",""
"","1208","Junín, provincia: Yauli","00 000 000 001 825","00 000 000 008 807","00 000 000 006 414","00 000 000 004 218","00 000 000 009 438","00 000 000 001 194","00 000 000 000 875","00 000 000 009 757",""
"","1209","Junín, provincia: Chupaca","00 000 000 001 096","00 000 000 013 826","00 000 000 001 037","00 000 000 013 885","00 000 000 011 485","00 000 000 003 437","00 000 000 001 083","00 000 000 013 839",""
"","1301","La Lbertad, provincia: Trujillo","00 000 000 104 086","00 000 000 146 195","00 000 000 086 412","00 000 000 163 869","00 000 000 228 342","00 000 000 021 939","00 000 000 087 814","00 000 000 162 467",""
"","1302","La Lbertad, provincia: Ascope","00 000 000 008 434","00 000 000 023 282","00 000 000 019 145","00 000 000 012 571","00 000 000 027 174","00 000 000 004 542","00 000 000 006 013","00 000 000 025 703",""
"","1303","La Lbertad, provincia: Bolívar","00 000 000 000 061","00 000 000 003 981","00 000 000 000 235","00 000 000 003 807","00 000 000 002 912","00 000 000 001 130","00 000 000 000 012","00 000 000 004 030",""
"","1304","La Lbertad, provincia: Chepén","00 000 000 003 865","00 000 000 018 684","00 000 000 011 079","00 000 000 011 470","00 000 000 019 389","00 000 000 003 160","00 000 000 002 181","00 000 000 020 368",""
"","1305","La Lbertad, provincia: Julcán","00 000 000 000 214","00 000 000 008 792","00 000 000 000 177","00 000 000 008 829","00 000 000 005 482","00 000 000 003 524","00 000 000 000 043","00 000 000 008 963",""
"","1306","La Lbertad, provincia: Otuzco","00 000 000 000 499","00 000 000 023 558","00 000 000 001 939","00 000 000 022 118","00 000 000 016 318","00 000 000 007 739","00 000 000 000 347","00 000 000 023 710",""
"","1307","La Lbertad, provincia: Pacasmayo","00 000 000 006 678","00 000 000 022 761","00 000 000 016 070","00 000 000 013 369","00 000 000 025 986","00 000 000 003 453","00 000 000 004 397","00 000 000 025 042",""
"","1308","La Lbertad, provincia: Pataz","00 000 000 000 491","00 000 000 018 380","00 000 000 002 309","00 000 000 016 562","00 000 000 012 769","00 000 000 006 102","00 000 000 000 091","00 000 000 018 780",""
